date,Age
0,3
5082,1
5912,7
5913,9
5080,13
5909,6
5078,10
5077,5
5911,6
5920,3
5081,7
5919,5
5086,6
557,7
5095,8
5918,9
5094,3
5731,9
5733,8
5730,8
5729,4
5093,5
5092,5
5090,10
603,2
5089,2
5734,5
5088,13
5087,12
5091,8
5721,9
5084,7
5083,7
5719,7
554,12
5105,3
5908,12
5107,12
5907,7
5101,6
5096,9
5899,10
5895,8
5100,3
5099,9
5896,10
5902,2
5903,8
5904,1
5115,3
5114,5
5900,13
5113,13
5112,6
5901,6
5116,9
5923,3
5924,6
5925,10
5108,8
556,2
555,13
5110,9
5111,9
5722,8
5720,13
5103,6
5120,9
5740,12
5741,10
5742,9
5121,7
5718,11
5693,5
607,5
5118,13
5117,7
5691,9
5697,13
5119,13
5696,6
5698,8
5695,6
645,6
5135,11
5694,11
5134,8
5133,10
5132,8
5681,7
5682,12
5138,8
5683,10
5131,3
5126,6
5680,13
5125,10
5738,7
646,6
5144,13
5743,5
5145,9
5728,10
5143,6
5141,4
5725,1
605,11
5140,7
5727,7
5744,13
5142,3
5154,5
601,8
5155,13
5748,10
5747,13
5745,9
5157,2
5156,1
5149,1
5746,4
5148,9
5736,6
5147,7
5146,3
5737,6
5152,7
5735,1
5153,9
643,4
5102,9
5104,6
5836,13
5856,3
3822,11
3820,8
3814,11
5844,9
3813,7
5845,5
3816,8
5846,7
3819,12
3818,9
3817,13
576,6
3895,10
3894,10
3893,9
3892,9
3898,4
5938,7
3897,7
5939,9
3858,6
5935,2
3887,3
5937,7
5936,3
5942,7
3891,11
5940,6
3890,1
3823,11
3825,7
3888,8
754,5
3803,10
3802,9
3810,6
3809,10
3807,11
3806,9
755,5
756,6
584,10
5835,6
573,7
5851,8
3798,9
757,9
575,11
5847,6
5848,5
3801,6
3800,1
5849,10
3799,3
5859,9
5860,2
5852,11
5853,11
5854,5
5855,1
3821,3
5857,9
3889,3
5941,10
5380,3
5946,1
3869,1
3867,1
3866,3
3860,3
5950,9
5951,9
5953,7
3859,9
3871,4
3882,9
3881,1
3880,1
3883,5
550,7
3885,8
3884,10
749,1
5945,7
3873,10
3872,8
559,7
3875,6
558,4
3879,11
3878,5
5905,9
3876,9
3877,11
5906,7
3870,7
3863,12
3899,3
3864,8
3900,5
3914,9
3913,11
3912,12
551,7
5927,8
3901,7
553,7
3916,8
3915,10
552,6
5928,6
5934,4
3907,1
3906,10
3905,1
3904,10
3903,6
3902,10
5929,9
3911,8
5930,11
5931,4
5932,9
3909,11
3910,1
5947,8
5948,13
3865,6
5124,7
5123,7
5688,10
5044,8
5045,4
5305,4
5304,7
5774,3
598,8
5775,9
5301,2
5777,13
5300,1
5782,7
5781,9
5783,12
5778,8
5307,8
5306,2
5779,10
635,9
6675,7
6754,7
8514,7
5293,3
8516,9
8517,7
8518,4
5295,7
5298,7
8509,7
8510,9
8511,1
5776,10
5786,13
5297,6
5789,8
5065,6
5067,1
5772,8
5066,5
5768,8
5769,13
5042,11
5770,9
5755,13
5749,2
5750,1
5751,7
5752,9
5753,5
5754,9
5758,13
5759,8
5760,9
5761,8
5762,10
5040,1
5038,6
5037,7
5756,8
5757,10
5048,6
5047,6
5049,11
5788,8
8512,5
8532,10
5689,8
8477,11
5309,6
5308,7
8501,12
8502,1
8503,3
8504,4
8505,6
5311,4
8506,3
8500,11
8491,10
8492,7
8495,10
8497,6
8499,7
8496,10
8541,5
8586,2
8587,13
8589,3
8590,5
8591,1
8592,10
8593,2
8595,6
8577,2
8579,6
5270,7
8581,7
5310,10
8476,5
8533,7
8475,9
8534,7
5316,5
8537,8
8538,8
8539,11
8530,2
8529,8
8520,10
8521,13
8522,9
8526,8
8527,4
8528,8
8524,8
8507,7
5319,4
8483,5
8484,1
5318,8
8486,5
8487,12
8488,5
8489,6
5317,6
8479,1
5315,7
8471,8
8472,6
8473,8
5062,11
5063,8
5064,3
5704,6
5703,1
5707,3
5026,13
5710,13
5708,5
5709,7
5027,11
5028,5
5801,5
593,11
592,10
4986,8
5799,8
4985,12
594,8
4988,6
4987,1
4983,1
4978,1
5803,9
4977,4
4976,6
4975,1
4974,1
4973,12
5794,7
4981,5
4980,7
5790,6
5032,2
5700,5
5765,7
5033,4
5127,6
5129,9
5128,8
5684,9
5019,12
5686,8
5018,3
5017,8
5016,9
5020,9
5021,3
5714,8
5715,3
5713,8
5024,1
5023,8
5712,5
5022,10
5010,12
5716,6
5011,9
5015,13
5014,10
5012,1
5030,1
5029,9
5705,1
5706,10
5699,9
597,4
5793,9
5791,6
5004,4
5824,7
5827,8
5825,6
5058,11
5826,1
5056,13
5818,10
5050,5
5811,6
589,10
5812,10
590,6
5807,9
591,3
5051,8
5070,3
5068,10
588,7
5813,10
5815,8
5816,8
5071,7
5075,4
647,8
5767,4
5074,8
5073,4
600,10
5072,11
5060,13
5055,10
5829,8
4990,2
5003,8
5002,4
595,5
5798,3
5007,5
5006,7
5005,11
5001,8
4994,12
4993,6
4992,7
4991,11
5806,12
587,8
5052,12
5822,1
652,8
5823,8
4995,11
5000,1
4999,3
4997,13
651,13
5819,1
5036,11
5054,5
5828,8
586,9
5837,2
3826,4
4645,11
3584,11
5398,1
3590,8
5396,8
3589,9
3588,13
3587,7
5395,8
3586,3
5406,8
5407,7
5405,10
781,7
3577,2
5409,10
5408,12
3576,11
5400,7
5402,6
5403,6
3578,13
5401,13
3581,2
3579,12
5384,11
3580,12
3627,8
3628,8
5387,5
5382,8
3582,7
3585,9
775,10
5466,8
3612,11
3620,10
3619,2
5474,2
771,7
5475,8
3571,12
3570,12
3569,8
5457,3
5458,8
784,8
3572,1
3574,7
5460,2
5456,3
3573,5
5453,2
5454,8
5455,7
5461,4
5467,8
3562,1
3561,8
3563,7
5462,5
5463,5
5464,11
5465,9
5383,8
5391,7
3615,12
3681,10
3672,10
3667,13
3666,7
5415,6
5416,11
3665,9
3664,2
5410,10
5411,11
5412,7
3671,7
3670,5
3668,7
5413,3
5414,9
5421,7
5419,3
3639,13
629,10
5420,2
5418,11
630,8
5417,10
5477,11
3641,10
3640,10
5534,5
5535,7
3633,11
5427,10
5426,11
5392,2
5425,8
5393,9
3661,1
3660,9
5388,7
5390,3
3654,9
3653,11
5389,9
3652,6
5424,7
3655,9
3656,1
776,7
3659,7
3658,3
5422,1
5423,9
3657,3
3663,5
3680,10
3679,8
3678,10
3677,8
772,2
3676,6
5430,11
3675,11
3674,12
3682,12
5469,9
3617,13
3827,11
3793,6
3790,11
5626,8
615,9
5630,13
3792,8
758,9
3796,11
3795,7
3794,10
5629,9
3782,6
3781,5
3780,8
3784,8
5648,2
5649,3
5650,13
3786,2
3785,7
3783,9
5647,9
3762,3
3746,3
3745,10
3744,9
3749,6
5652,6
3748,3
