date,education
0,12orGED
5082,C4+
5912,C1-3
5913,12orGED
5080,9-11
5909,C4+
5078,9-11
5077,C1-3
5911,12orGED
5920,12orGED
5081,1-8
5919,C1-3
5086,12orGED
557,C1-3
5095,C1-3
5918,12orGED
5094,12orGED
5731,9-11
5733,C1-3
5730,12orGED
5729,12orGED
5093,C1-3
5092,C1-3
5090,1-8
603,C1-3
5089,C4+
5734,12orGED
5088,9-11
5087,12orGED
5091,12orGED
5721,C4+
5084,9-11
5083,1-8
5719,9-11
554,9-11
5105,C1-3
5908,C1-3
5107,1-8
5907,12orGED
5101,12orGED
5096,9-11
5899,12orGED
5895,C1-3
5100,12orGED
5099,C1-3
5896,12orGED
5902,C1-3
5903,C1-3
5904,12orGED
5115,12orGED
5114,C1-3
5900,12orGED
5113,12orGED
5112,1-8
5901,C1-3
5116,C4+
5923,C1-3
5924,C4+
5925,C4+
5108,C1-3
556,C1-3
555,1-8
5110,12orGED
5111,1-8
5722,C1-3
5720,12orGED
5103,12orGED
5120,9-11
5740,9-11
5741,9-11
5742,9-11
5121,C1-3
5718,12orGED
5693,12orGED
607,12orGED
5118,12orGED
5117,12orGED
5691,C1-3
5697,12orGED
5119,C1-3
5696,C1-3
5698,C1-3
5695,C1-3
645,12orGED
5135,C1-3
5694,9-11
5134,1-8
5133,12orGED
5132,12orGED
5681,C1-3
5682,9-11
5138,C4+
5683,C1-3
5131,12orGED
5126,12orGED
5680,9-11
5125,12orGED
5738,C1-3
646,12orGED
5144,1-8
5743,9-11
5145,12orGED
5728,C4+
5143,C1-3
5141,C1-3
5725,C4+
605,C1-3
5140,C1-3
5727,C1-3
5744,12orGED
5142,12orGED
5154,12orGED
601,12orGED
5155,12orGED
5748,1-8
5747,12orGED
5745,C1-3
5157,C4+
5156,C1-3
5149,C1-3
5746,C4+
5148,12orGED
5736,C1-3
5147,12orGED
5146,12orGED
5737,C1-3
5152,12orGED
5735,12orGED
5153,9-11
643,C4+
5102,9-11
5104,C1-3
5836,12orGED
5856,C1-3
3822,C4+
3820,C4+
3814,12orGED
5844,12orGED
3813,C1-3
5845,9-11
3816,9-11
5846,9-11
3819,C1-3
3818,C1-3
3817,C4+
576,9-11
3895,12orGED
3894,1-8
3893,C1-3
3892,9-11
3898,C1-3
5938,9-11
3897,12orGED
5939,12orGED
3858,C1-3
5935,C1-3
3887,9-11
5937,C4+
5936,C4+
5942,9-11
3891,C4+
5940,1-8
3890,C4+
3823,C4+
3825,C1-3
3888,C1-3
754,1-8
3803,12orGED
3802,C1-3
3810,C1-3
3809,C4+
3807,C1-3
3806,1-8
755,1-8
756,C4+
584,9-11
5835,C4+
573,C4+
5851,12orGED
3798,12orGED
757,C1-3
575,12orGED
5847,9-11
5848,9-11
3801,C4+
3800,12orGED
5849,C1-3
3799,C1-3
5859,C1-3
5860,C4+
5852,9-11
5853,9-11
5854,C1-3
5855,C1-3
3821,1-8
5857,1-8
3889,C1-3
5941,12orGED
5380,9-11
5946,C1-3
3869,C1-3
3867,9-11
3866,12orGED
3860,C1-3
5950,12orGED
5951,C1-3
5953,C4+
3859,1-8
3871,C4+
3882,12orGED
3881,C1-3
3880,12orGED
3883,C1-3
550,12orGED
3885,C4+
3884,12orGED
749,12orGED
5945,12orGED
3873,12orGED
3872,C4+
559,1-8
3875,C1-3
558,C1-3
3879,C4+
3878,12orGED
5905,12orGED
3876,C4+
3877,9-11
5906,C1-3
3870,9-11
3863,C4+
3899,C1-3
3864,12orGED
3900,C1-3
3914,1-8
3913,C1-3
3912,12orGED
551,12orGED
5927,12orGED
3901,C1-3
553,12orGED
3916,9-11
3915,C1-3
552,12orGED
5928,9-11
5934,C4+
3907,C1-3
3906,C4+
3905,12orGED
3904,9-11
3903,C4+
3902,1-8
5929,C1-3
