date,Fruits
0,1
5082,1
5912,1
5913,1
5080,1
5909,1
5078,0
5077,0
5911,1
5920,1
5081,0
5919,1
5086,0
557,0
5095,0
5918,0
5094,1
5731,1
5733,0
5730,0
5729,0
5093,1
5092,0
5090,0
603,0
5089,1
5734,1
5088,1
5087,0
5091,0
5721,1
5084,1
5083,1
5719,0
554,0
5105,1
5908,0
5107,1
5907,0
5101,1
5096,1
5899,0
5895,1
5100,1
5099,1
5896,0
5902,0
5903,0
5904,0
5115,0
5114,1
5900,1
5113,1
5112,0
5901,1
5116,0
5923,1
5924,0
5925,1
5108,1
556,1
555,0
5110,0
5111,0
5722,1
5720,1
5103,0
5120,1
5740,1
5741,1
5742,0
5121,0
5718,1
5693,0
607,1
5118,0
5117,1
5691,1
5697,1
5119,1
5696,1
5698,1
5695,1
645,0
5135,1
5694,1
5134,0
5133,1
5132,1
5681,1
5682,0
5138,1
5683,0
5131,0
5126,0
5680,1
5125,1
5738,1
646,1
5144,0
5743,1
5145,0
5728,1
5143,1
5141,0
5725,1
605,1
5140,1
5727,1
5744,1
5142,0
5154,1
601,0
5155,1
5748,1
5747,1
5745,0
5157,0
5156,0
5149,0
5746,0
5148,1
5736,0
5147,1
5146,1
5737,0
5152,1
5735,0
5153,1
643,0
5102,1
5104,1
5836,1
5856,0
3822,1
3820,0
3814,0
5844,1
3813,0
5845,0
3816,1
5846,1
3819,1
3818,0
3817,0
576,0
3895,0
3894,1
3893,0
3892,0
3898,1
5938,0
3897,1
5939,0
3858,1
5935,1
3887,0
5937,0
5936,0
5942,1
3891,1
5940,0
3890,1
3823,1
3825,1
3888,1
754,0
3803,1
3802,1
3810,1
3809,1
3807,1
3806,0
755,0
756,1
584,1
5835,1
573,1
5851,1
3798,1
757,0
575,0
5847,0
5848,0
3801,1
3800,1
5849,1
3799,0
5859,0
5860,0
5852,1
5853,0
5854,0
5855,1
3821,0
5857,0
3889,0
5941,1
5380,1
5946,0
3869,0
3867,0
3866,1
3860,1
5950,0
5951,1
5953,1
3859,0
3871,0
3882,0
3881,1
3880,0
3883,0
