,count
0,4
1,225
2,64
3,447
4,109
5,281
6,150
7,47
8,504
9,100
10,328
11,218
12,38
13,526
14,80
15,433
16,328
17,16
18,433
19,48
20,379
21,455
22,12
23,111
24,139
25,215
26,401
27,6
28,185
29,15
30,205
31,207
32,6
33,140
34,9
35,209
36,409
37,43
38,113
39,40
40,41
41,21
42,64
43,283
44,95
45,193
46,74
47,85
48,349
49,30
50,428
51,928
52,165
53,14
54,405
55,40
56,366
57,366
58,6
59,327
60,33
61,404
62,508
63,4
64,298
65,21
66,497
67,1177
68,15
69,66
70,17
71,41
72,16
73,221
74,39
75,289
76,39
77,69
78,229
79,105
80,113
81,63
82,19
83,107
84,28
85,68
86,16
87,18
88,165
89,46
90,109
91,75
92,10
93,238
94,58
95,166
96,90
97,151
98,23
99,6
100,39
101,1
102,20
103,4
104,61
105,192
106,3
107,7
108,2
109,1
110,7
111,104
112,24
113,72
114,73
115,17
116,165
117,38
118,149
119,114
120,20
121,255
122,54
123,2
124,246
125,29
126,4
127,4
128,12
129,5
130,10
131,7
132,17
133,7
134,12
135,10
136,3
137,12
138,9
139,18
140,21
141,1
142,31
143,5
144,30
145,35
146,1
147,30
148,218
149,199
150,13
151,35
152,158
153,48
154,73
155,49
156,36
157,190
158,58
159,105
160,50
161,31
162,219
163,59
164,159
165,62
166,28
167,241
168,41
169,185
170,136
171,8
172,82
173,87
174,32
175,11
176,343
177,34
178,340
179,372
180,17
181,565
182,52
183,620
184,878
185,644
186,85
187,43
188,886
189,1591
190,19
191,1079
192,66
193,1693
194,8001
195,13
196,53
197,346
198,119
199,17
200,21
201,4
202,96
203,9
204,55
205,45
206,5
207,110
208,11
209,101
210,94
211,5
212,138
213,18
214,145
215,177
216,2
217,158
218,14
219,222
220,352
221,28
222,48
223,235
224,4
225,100
226,8
227,96
228,11
229,107
230,97
231,7
232,54
233,7
234,96
235,165
236,42
237,131
238,84
239,93
240,45
241,8
242,35
243,7
244,27
245,16
246,2
247,162
248,13
249,293
250,842
251,711
252,25
253,1454
254,95
255,1558
256,1654
257,18
258,1537
259,78
260,2006
261,3280
262,25
263,2210
264,108
265,3626
266,12294
267,25
268,154
269,49
270,144
